actor_id,first_name,last_name,gender
5025,Ahmad,Al Ahmad,M
5029,Ali,Al Ameri,M
5041,Salam,Al Mosawy,M
5049,Sheikh Ahmad,Al Tuni,M
5060,Samie,Al-Adel,M
5076,Sulayman,Al-Bassam,M
5086,Ali,Al-Gurair,M
5094,Ahmed,Al-Khan,M
5095,Amer,Al-Khan,M
5099,Erfan,Al-Madani,M
5100,Hamad,Al-Meer,M
5106,Yassir,Al-Qurmuzi,M
5107,Dharma Harun,Al-Rashid,M
5109,Juma'an,Al-Rowayai,M
5114,Ameen,Al-Sayiq,M
5121,Bassam,Al-Thawadi,M
5134,Sargis,Alabahyan,M
5136,Mehmet Ali,Alabora,M
5142,Carl,Alacchi,M
